SOURCE_NUMBER,NAME,RA,DEC,Uncert (arcmin),REDSHIFT,REDSHIFT_FLAG,FLUX_1P4_GHZ,RMAG,XRAY_FLUX,OBJECT_TYPE,LII,BII,FLUX_143_GHZ,GR_PHOTON_FLUX,RO_SPECTRAL_INDEX
2616,[MML2015] 5BZQ J1609+5354,242.304958,53.90825,0.016666667,0.992,,45,18.1,1.50E-13,QSO RLOUD FLAT RADIO SP.,83.513662,45.181,0,,0.506
1665,[MML2015] 5BZB J1117+5355,169.488458,53.931919,0.016666667,,,12,17.5,4.50E-13,BL LAC,149.211903,58.164654,0,8.00E-10,0.283
1754,[MML2015] 5BZQ J1146+5356,176.684167,53.945308,0.016666667,2.201,,367,19.6,,QSO RLOUD FLAT RADIO SP.,142.480239,60.65866,0,,0.79
2698,[MML2015] 5BZQ J1639+5357,249.916,53.963078,0.016666667,1.977,,322,19.7,4.00E-14,QSO RLOUD FLAT RADIO SP.,82.222252,40.802814,0,,0.785
1122,[MML2015] 5BZG J0831+5400,127.7515,54.006528,0.016666667,0.062,,16,15.3,,BL LAC-GALAXY DOMINATED,164.21003,36.091862,0,,0.211
1579,[MML2015] 5BZQ J1053+5401,163.487708,54.030278,0.016666667,0.995,,266,18.9,2.30E-13,QSO RLOUD FLAT RADIO SP.,153.543755,55.546544,0,,0.691
1226,[MML2015] 5BZQ J0902+5402,135.580375,54.04925,0.016666667,1.682,,163,19.2,,QSO RLOUD FLAT RADIO SP.,163.557252,40.659796,0,,0.685
2923,[MML2015] 5BZB J1829+5402,277.351208,54.049939,0.016666667,,,25,17.2,9.20E-13,BL LAC,82.865026,24.78952,0,7.00E-10,0.346
1676,[MML2015] 5BZQ J1120+5404,170.097083,54.074639,0.016666667,0.924,,269,18.9,1.70E-13,QSO RLOUD FLAT RADIO SP.,148.523344,58.294631,0,,0.737
2607,[MML2015] 5BZQ J1606+5405,241.598208,54.098828,0.016666667,0.876,,167,17.6,2.00E-13,QSO RLOUD FLAT RADIO SP.,83.94442,45.523381,0,,0.537
2342,[MML2015] 5BZQ J1429+5406,217.341167,54.103078,0.016666667,3.013,,1029,19.9,1.50E-13,QSO RLOUD FLAT RADIO SP.,95.969227,57.596001,0,,0.896
1955,[MML2015] 5BZG J1238+5406,189.630167,54.114419,0.016666667,0.224,,40,17.3,,BL LAC-GALAXY DOMINATED,127.089995,62.909422,0,,0.325
2334,[MML2015] 5BZG J1427+5409,216.876125,54.156578,0.016666667,0.106,,44,15.3,3.80E-13,BL LAC-GALAXY DOMINATED,96.409536,57.74319,0,,0.185
1304,[MML2015] 5BZB J0926+5411,141.661958,54.190719,0.016666667,0.841,?,38,19.4,,BL LAC,162.358812,44.114368,0,,0.533
2135,[MML2015] 5BZQ J1330+5414,202.5225,54.247639,0.016666667,0.839,,63,18.4,1.40E-13,QSO RLOUD FLAT RADIO SP.,110.886937,61.967455,0,,0.531
1347,[MML2015] 5BZB J0942+5416,145.688708,54.272358,0.016666667,,,11,20.2,,BL LAC,161.271554,46.341229,0,,0.6
1204,[MML2015] 5BZG J0856+5418,134.03475,54.315389,0.016666667,0.259,,57,16.7,1.24E-12,BL LAC-GALAXY DOMINATED,163.391178,39.725539,0,,0.297
2602,[MML2015] 5BZB J1605+5421,241.329417,54.35,0.016666667,0.212,,7,18.6,3.87E-12,BL LAC,84.354099,45.597567,0,,0.429
2302,[MML2015] 5BZB J1419+5423,214.944167,54.387439,0.016666667,0.153,,789,15.4,8.10E-13,BL LAC,98.300576,58.311866,871,8.00E-10,0.543
1824,[MML2015] 5BZB J1203+5430,180.881958,54.502469,0.016666667,0.478,,72,19.2,,BL LAC,137.443638,61.255323,0,,0.603
1558,[MML2015] 5BZB J1047+5437,161.940917,54.628058,0.016666667,0.54,?,7,19.8,3.20E-13,BL LAC CANDIDATE,153.717102,54.469074,0,,0.394
1843,[MML2015] 5BZQ J1208+5441,182.226,54.699469,0.016666667,1.343,,302,18.8,,QSO RLOUD FLAT RADIO SP.,135.78388,61.354744,377,1.80E-09,0.695
979,[MML2015] 5BZU J0742+5444,115.66575,54.740189,0.016666667,0.723,,281,17.6,3.80E-13,BLAZAR UNCERTAIN TYPE,163.037352,29.09188,0,2.50E-09,0.535
2944,[MML2015] 5BZB J1840+5452,280.239042,54.871078,0.016666667,0.646,,208,19.5,2.50E-13,BL LAC,84.169524,23.349834,0,,0.705
3093,[MML2015] 5BZQ J2031+5455,307.949792,54.917528,0.016666667,1.262,,1154,17.2,4.50E-13,QSO RLOUD FLAT RADIO SP.,91.12943,8.988308,0,,0.568
2168,[MML2015] 5BZQ J1337+5501,204.456792,55.017247,0.016666667,1.099,,707,17.9,1.90E-13,QSO RLOUD FLAT RADIO SP.,109.240042,60.8607,0,,0.714
2809,[MML2015] 5BZG J1727+5510,261.84775,55.181528,0.016666667,0.247,,144,17.2,9.50E-13,BL LAC-GALAXY DOMINATED,83.023974,33.817789,0,,0.515
2068,[MML2015] 5BZQ J1311+5513,197.763375,55.231747,0.016666667,0.925,,425,19.2,1.80E-13,QSO RLOUD FLAT RADIO SP.,117.035513,61.671368,0,,0.777
2180,[MML2015] 5BZB J1341+5514,205.400958,55.243889,0.016666667,0.207,,37,17.8,7.30E-13,BL LAC,108.396673,60.446092,0,,0.52
3535,[MML2015] 5BZQ J2353+5518,358.426208,55.311308,0.016666667,1.927,,221,18.3,,QSO RLOUD FLAT RADIO SP.,114.721379,-6.637419,0,,0.53
2982,[MML2015] 5BZQ J1918+5520,289.54475,55.344058,0.016666667,1.734,,301,19.5,,QSO RLOUD FLAT RADIO SP.,86.396579,18.431296,159,,0.741
2867,[MML2015] 5BZB J1756+5522,269.066208,55.371689,0.016666667,,,16,16.9,6.84E-12,BL LAC,83.477677,29.721605,0,5.00E-10,0.251
1393,[MML2015] 5BZQ J0957+5522,149.409042,55.382719,0.016666667,0.896,,3079,17.6,5.10E-13,QSO RLOUD FLAT RADIO SP.,158.598597,47.928169,502,1.12E-08,0.795
2870,[MML2015] 5BZG J1757+5523,269.36775,55.386689,0.016666667,0.065,,79,14.8,9.00E-14,BL LAC-GALAXY DOMINATED,83.514424,29.552622,0,,0.228
2789,[MML2015] 5BZB J1719+5524,259.75975,55.401778,0.016666667,0.626,,2,20.8,2.60E-13,BL LAC,83.317335,35.002405,0,,0.483
2440,[MML2015] 5BZB J1501+5527,225.276042,55.464108,0.016666667,,,12,19.7,,BL LAC,92.382498,53.279075,0,,0.632
1770,[MML2015] 5BZG J1150+5528,177.500292,55.472608,0.016666667,0.139,,153,14.3,,BL LAC-GALAXY DOMINATED,140.16484,59.552454,0,,0.206
1189,[MML2015] 5BZB J0851+5528,132.899708,55.476308,0.016666667,,,108,18.1,,BL LAC,162.023669,38.91649,0,,0.473
2053,[MML2015] 5BZQ J1306+5529,196.513958,55.495528,0.016666667,1.601,,133,18.3,1.80E-13,QSO RLOUD FLAT RADIO SP.,118.590903,61.509344,0,,0.611
1137,[MML2015] 5BZG J0834+5534,128.729,55.572778,0.016666667,0.242,,8283,17.2,1.21E-12,BL LAC-GALAXY DOMINATED,162.227165,36.559518,0,,0.786
